Date : 2025-09-28 23:35:54
Directory : c:\Users\anieu\tribal-gnosis-live
Total : 88 files,  27700 codes, 425 comments, 1547 blanks, all 29672 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     15,881 |          0 |          4 |     15,885 |
| TypeScript JSX     |         37 |      6,785 |        119 |        629 |      7,533 |
| TypeScript         |         30 |      4,063 |        305 |        737 |      5,105 |
| Markdown           |          6 |        714 |          0 |        154 |        868 |
| YAML               |          2 |         88 |          0 |         17 |        105 |
| JSON with Comments |          3 |         78 |          0 |          2 |         80 |
| HTML               |          2 |         72 |          0 |          1 |         73 |
| JavaScript         |          2 |         16 |          1 |          2 |         19 |
| PostCSS            |          1 |          3 |          0 |          1 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                |         88 |     27,700 |        425 |      1,547 |     29,672 |
| . (Files)                                                                                        |         20 |     16,694 |          7 |        169 |     16,870 |
| .github                                                                                          |          1 |         55 |          0 |         16 |         71 |
| .github\workflows                                                                                |          1 |         55 |          0 |         16 |         71 |
| cypress                                                                                          |          2 |         43 |         11 |         10 |         64 |
| cypress\e2e                                                                                      |          1 |         29 |          1 |          7 |         37 |
| cypress\support                                                                                  |          1 |         14 |         10 |          3 |         27 |
| src                                                                                              |         44 |      7,497 |        161 |        759 |      8,417 |
| src (Files)                                                                                      |          6 |        277 |          8 |         43 |        328 |
| src\components                                                                                   |         24 |      5,134 |         75 |        433 |      5,642 |
| src\hooks                                                                                        |          1 |        133 |          6 |         25 |        164 |
| src\services                                                                                     |          4 |        641 |         40 |        126 |        807 |
| src\tabs                                                                                         |          7 |      1,272 |         30 |        119 |      1,421 |
| src\test                                                                                         |          2 |         40 |          2 |         13 |         55 |
| tribal-gnosis-backend                                                                            |         21 |      3,411 |        246 |        593 |      4,250 |
| tribal-gnosis-backend (Files)                                                                    |          5 |        272 |          5 |         33 |        310 |
| tribal-gnosis-backend\src                                                                        |         16 |      3,139 |        241 |        560 |      3,940 |
| tribal-gnosis-backend\src (Files)                                                                |          2 |        585 |         67 |        117 |        769 |
| tribal-gnosis-backend\src\config                                                                 |          1 |         39 |          2 |          9 |         50 |
| tribal-gnosis-backend\src\middleware                                                             |          2 |        244 |         24 |         53 |        321 |
| tribal-gnosis-backend\src\models                                                                 |          2 |        554 |         27 |         40 |        621 |
| tribal-gnosis-backend\src\routes                                                                 |          2 |        255 |         10 |         63 |        328 |
| tribal-gnosis-backend\src\scripts                                                                |          1 |         48 |          2 |          8 |         58 |
| tribal-gnosis-backend\src\services                                                               |          4 |      1,279 |         94 |        240 |      1,613 |
| tribal-gnosis-backend\src\types                                                                  |          1 |         20 |          0 |          2 |         22 |
| tribal-gnosis-backend\src\utils                                                                  |          1 |        115 |         15 |         28 |        158 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                         | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\anieu\tribal-gnosis-live\.eslintrc.json                                                 | JSON with Comments |         38 |          0 |          0 |         38 |
| c:\Users\anieu\tribal-gnosis-live\.github\workflows\ci.yml                                       | YAML               |         55 |          0 |         16 |         71 |
| c:\Users\anieu\tribal-gnosis-live\App.tsx                                                        | TypeScript JSX     |         73 |          2 |         17 |         92 |
| c:\Users\anieu\tribal-gnosis-live\DEPLOYMENT_FIXES.md                                            | Markdown           |        126 |          0 |         34 |        160 |
| c:\Users\anieu\tribal-gnosis-live\PROJECT.md                                                     | Markdown           |        193 |          0 |         31 |        224 |
| c:\Users\anieu\tribal-gnosis-live\README.md                                                      | Markdown           |         13 |          0 |          8 |         21 |
| c:\Users\anieu\tribal-gnosis-live\SUBSCRIPTION_IMPLEMENTATION.md                                 | Markdown           |        203 |          0 |         41 |        244 |
| c:\Users\anieu\tribal-gnosis-live\TEST_PLAN.md                                                   | Markdown           |        124 |          0 |         23 |        147 |
| c:\Users\anieu\tribal-gnosis-live\cypress.config.ts                                              | TypeScript         |         17 |          1 |          1 |         19 |
| c:\Users\anieu\tribal-gnosis-live\cypress\e2e\login.cy.ts                                        | TypeScript         |         29 |          1 |          7 |         37 |
| c:\Users\anieu\tribal-gnosis-live\cypress\support\e2e.ts                                         | TypeScript         |         14 |         10 |          3 |         27 |
| c:\Users\anieu\tribal-gnosis-live\index.html                                                     | HTML               |         13 |          0 |          0 |         13 |
| c:\Users\anieu\tribal-gnosis-live\index.tsx                                                      | TypeScript JSX     |         14 |          0 |          3 |         17 |
| c:\Users\anieu\tribal-gnosis-live\metadata.json                                                  | JSON               |          7 |          0 |          0 |          7 |
| c:\Users\anieu\tribal-gnosis-live\package-lock.json                                              | JSON               |     15,700 |          0 |          1 |     15,701 |
| c:\Users\anieu\tribal-gnosis-live\package.json                                                   | JSON               |         65 |          0 |          1 |         66 |
| c:\Users\anieu\tribal-gnosis-live\postcss.config.js                                              | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\anieu\tribal-gnosis-live\render.yaml                                                    | YAML               |         33 |          0 |          1 |         34 |
| c:\Users\anieu\tribal-gnosis-live\src\App.tsx                                                    | TypeScript JSX     |        113 |          6 |         19 |        138 |
| c:\Users\anieu\tribal-gnosis-live\src\components\AnalysisOutput.tsx                              | TypeScript JSX     |        301 |          0 |         18 |        319 |
| c:\Users\anieu\tribal-gnosis-live\src\components\AnalyticsDashboard.tsx                          | TypeScript JSX     |        524 |          3 |         46 |        573 |
| c:\Users\anieu\tribal-gnosis-live\src\components\CompanyCreationForm.tsx                         | TypeScript JSX     |        314 |          6 |         32 |        352 |
| c:\Users\anieu\tribal-gnosis-live\src\components\CompanyList.tsx                                 | TypeScript JSX     |        263 |          6 |         24 |        293 |
